fileName,applicationId,brandName,classType,abv,proof,netContents,producerName,producerAddress,countryOfOrigin,governmentWarning
06-summit-cider-match.png,TTB-COLA-TEST-006,SUMMIT CIDER WORKS,Hard Apple Cider,5.8% Alc./Vol.,"",16 FL OZ,Summit Cider Works,"Bend, OR","","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems."
06-summit-cider-mismatch.png,TTB-COLA-TEST-006,SUMMIT CIDER WORKS,Hard Apple Cider,5.8% Alc./Vol.,"",16 FL OZ,Summit Cider Works,"Bend, OR","","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems."
07-blue-canyon-tequila-match.png,TTB-COLA-TEST-007,BLUE CANYON,Tequila Blanco,40% Alc./Vol.,80 Proof,750 mL,Agave Azul S.A.,"Jalisco, Mexico",Mexico,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems."
07-blue-canyon-tequila-mismatch.png,TTB-COLA-TEST-007,BLUE CANYON,Tequila Blanco,40% Alc./Vol.,80 Proof,750 mL,Agave Azul S.A.,"Jalisco, Mexico",Mexico,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems."
08-prairie-gin-match.png,TTB-COLA-TEST-008,PRAIRIE GIN,Distilled Gin,47% Alc./Vol.,94 Proof,750 mL,Prairie Botanical Spirits,"Madison, WI","","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems."
08-prairie-gin-mismatch.png,TTB-COLA-TEST-008,PRAIRIE GIN,Distilled Gin,47% Alc./Vol.,94 Proof,750 mL,Prairie Botanical Spirits,"Madison, WI","","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems."
09-redwood-lager-match.png,TTB-COLA-TEST-009,REDWOOD LAGER,American Lager,4.9% Alc./Vol.,"",12 FL OZ,Redwood Brewing Co.,"Santa Rosa, CA","","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems."
09-redwood-lager-mismatch.png,TTB-COLA-TEST-009,REDWOOD LAGER,American Lager,4.9% Alc./Vol.,"",12 FL OZ,Redwood Brewing Co.,"Santa Rosa, CA","","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems."
10-silver-maple-whiskey-match.png,TTB-COLA-TEST-010,SILVER MAPLE,Rye Whiskey,50% Alc./Vol.,100 Proof,750 mL,Silver Maple Distilling,"Burlington, VT","","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems."
10-silver-maple-whiskey-mismatch.png,TTB-COLA-TEST-010,SILVER MAPLE,Rye Whiskey,50% Alc./Vol.,100 Proof,750 mL,Silver Maple Distilling,"Burlington, VT","","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems."
